iterations,cable_length
0,4968
1,4950
2,4950
3,4950
4,4934
5,4890
6,4890
7,4890
8,4890
9,4890
10,4890
11,4890
12,4890
13,4890
14,4890
15,4890
16,4890
17,4890
18,4890
19,4890
